500000001,96,48,85,71,21,61,6,25,23,36,37
500000002,69,58,29,98,6,46,63,68,21,49,43
500000003,45,44,55,59,6,99,63,80,97,19,35
500000004,86,76,73,39,10,29,57,34,8,53,15
500000005,53,5,38,52,23,35,1,2,90,64,64
500000006,5,76,35,54,5,27,29,13,25,84,62
500000007,82,41,57,26,63,87,88,62,66,85,3
500000008,81,30,16,77,49,22,56,69,74,38,37
500000009,67,3,46,9,54,24,89,35,47,33,10
500000010,42,2,98,90,68,95,86,32,16,24,23
500000011,23,42,23,4,60,47,28,75,78,50,38
500000012,1,91,18,26,84,4,88,44,41,49,3
500000013,91,82,7,78,7,73,2,48,49,10,44
500000014,32,61,75,27,94,77,75,96,84,99,50
500000015,42,15,95,61,68,76,92,23,74,18,47
500000016,93,4,2,23,16,28,15,20,34,97,28
500000017,27,41,97,87,63,8,3,77,34,80,32
500000018,23,47,53,53,72,24,75,68,51,83,49
500000019,14,8,61,87,5,62,71,95,32,9,30
500000020,20,62,18,64,70,59,17,68,33,61,83
500000021,99,88,21,60,90,94,59,33,12,7,13
500000022,76,26,61,99,0,60,12,85,72,62,39
500000023,96,0,53,0,92,54,7,17,71,0,74
500000024,73,13,57,42,92,39,79,64,65,72,54
500000025,26,4,84,58,78,4,94,88,28,97,79
500000026,82,65,86,87,57,16,66,71,76,49,38
500000027,86,13,19,71,15,65,94,68,20,23,55
500000028,4,0,95,78,34,58,20,59,15,40,94
500000029,10,91,95,36,25,25,24,22,35,82,66
500000030,79,63,22,55,59,21,55,79,79,76,49
500000031,26,84,11,88,22,94,84,74,31,19,46
500000032,75,33,44,42,99,29,3,28,55,67,99
500000033,39,4,37,10,26,63,33,41,2,69,18
500000034,46,33,63,71,90,51,26,75,23,18,25
500000035,61,64,7,27,64,19,54,96,94,7,90
500000036,62,48,88,58,54,42,69,26,52,58,55
500000037,1,94,73,44,75,95,31,8,8,8,60
500000038,78,43,27,5,47,66,14,91,3,17,67
500000039,72,28,38,8,58,49,17,99,70,84,76
500000040,3,60,54,50,29,26,9,1,99,79,37
500000041,38,88,59,80,35,95,34,84,75,37,1
500000042,6,65,35,22,46,94,0,63,17,13,29
500000043,39,32,11,69,19,46,12,4,11,55,59
500000044,74,56,75,40,16,37,85,21,99,32,11
500000045,82,98,28,76,47,76,38,62,99,70,83
500000046,10,15,21,78,75,54,6,89,14,53,91
500000047,62,92,8,50,56,34,37,41,17,78,79
500000048,48,45,19,38,47,68,0,73,31,84,59
500000049,14,1,35,34,60,0,55,77,49,73,86
500000050,20,11,83,46,50,53,87,61,82,50,86
500000051,15,32,40,47,89,91,62,36,60,12,22
500000052,84,24,26,78,64,72,21,40,75,97,18
500000053,25,50,24,63,30,33,3,98,63,31,21
500000054,60,44,63,16,44,68,68,27,69,50,20
500000055,27,77,21,5,32,93,57,37,58,90,54
500000056,27,20,37,36,19,26,97,70,43,1,43
500000057,4,56,23,28,8,50,44,97,72,61,92
500000058,4,96,5,62,37,38,82,89,96,69,7
500000059,88,26,27,96,39,68,29,99,3,60,79
500000060,88,11,91,12,33,78,15,93,18,1,46
500000061,23,60,33,68,81,45,89,87,87,8,43
500000062,31,11,88,41,94,86,77,20,89,3,47
500000063,41,69,28,67,1,57,3,22,18,84,63
500000064,85,48,87,34,34,47,15,52,28,46,89
500000065,39,55,84,96,49,1,19,36,4,97,40
500000066,71,77,43,63,49,30,44,1,23,82,1
500000067,66,51,99,31,57,53,26,14,19,5,28
500000068,23,35,40,30,35,52,16,78,30,42,84
500000069,64,3,23,96,25,65,66,10,9,75,99
500000070,36,18,84,3,37,22,58,96,53,7,7
500000071,58,15,28,91,15,70,84,99,90,73,86
500000072,65,57,47,98,0,58,49,36,19,71,32
500000073,50,42,69,32,44,51,1,61,46,66,97
500000074,69,72,98,66,3,7,85,37,85,3,35
500000075,58,20,17,67,48,88,95,87,38,5,16
500000076,37,27,17,54,39,30,16,29,56,26,41
500000077,33,46,68,1,25,6,42,85,79,16,8
500000078,54,17,75,9,33,74,13,95,63,94,13
500000079,57,50,36,60,89,54,93,18,83,28,35
500000080,45,98,12,14,69,75,5,25,93,30,44
500000081,68,59,41,66,99,64,88,80,36,3,37
500000082,68,81,6,48,30,31,11,20,38,98,51
500000083,48,89,70,50,59,56,20,96,34,36,84
500000084,74,69,27,56,36,10,53,6,73,21,79
500000085,8,16,55,2,18,52,8,88,58,83,34
500000086,84,62,85,58,72,53,67,34,90,78,7
500000087,0,4,17,61,8,45,77,57,31,64,71
500000088,3,84,74,37,27,3,18,96,21,2,81
500000089,58,30,91,50,54,14,54,40,21,63,80
500000090,52,71,68,17,70,79,80,39,62,79,26
500000091,16,57,19,66,89,66,19,49,58,64,74
500000092,96,69,45,15,76,54,1,28,86,4,34
500000093,58,75,28,6,0,72,3,21,62,43,79
500000094,41,14,89,80,31,55,27,46,44,62,27
500000095,48,87,34,70,68,81,78,31,91,23,27
500000096,19,84,64,54,86,98,74,59,15,39,17
500000097,92,75,17,14,27,98,12,0,81,98,1
500000098,43,29,69,26,55,89,49,60,27,87,48
500000099,36,94,13,71,42,58,13,46,0,86,72
500000100,80,44,96,68,63,10,22,91,74,28,45
